0.736897171	178308
0.858734667	34655
0.953752279	3022
0.845376968	21574
0.754268944	201547
0.853403211	190092
0.814524472	212
0.910719037	8747
0.706766069	6434
0.662519455	139415
0.780027211	35189
0.664581537	886468
0.932535291	3176
0.834498882	16730
0.856494904	152749
0.77153933	202022
0.753882468	214740
0.677107692	35659
0.847268522	219
0.731108546	3009
0.733679295	152194
0.78919065	98822
0.677707136	868242
0.896237016	2807
0.790556133	7065
0.672964215	975695
0.694738686	415343
0.807406604	65109
0.743374348	203644
0.793232739	237182
0.868371546	219
0.900431395	3154
0.775619805	16187
0.709726155	246298
0.685038149	857354
0.937324286	2968
0.663430989	666547
0.912991524	113362
0.837299705	204340
0.885196507	241288
0.898202121	224
0.905309319	1694
0.8232041	16863
0.793785036	277833
0.741540551	248152
0.726008117	271143
0.639682412	982027
0.926788926	3219
0.456470013	2729
0.813676	119754
0.826534986	173600
0.885429204	257645
0.807618856	52936
0.886645734	213
0.871241987	300423
0.709605932	263016
0.762167156	277701
0.698951244	979437
0.952472746	3273
0.410235763	8081
0.685236931	581113
0.866378009	383095
0.813096821	173754
0.829097569	267173
0.842899323	226
0.926109254	1395
0.880638301	257554
0.785317779	262560
0.798866451	261888
0.712782621	979435
0.891075134	3302
0.44080174	11574
0.845376968	12115
0.874999642	451956
0.890124679	172053
0.897553861	258
0.904706836	1367
0.793245554	59771
0.761269629	283400
0.757108808	277663
0.714941323	979435
0.936764002	3211
0.673065543	9342
0.834498882	10023
0.618821502	849733
0.809181869	537074
0.87501812	240
0.834891975	1900
0.954392552	75927
